"BN/Registration number","Fiscal period end","Form ID","Line Number (700 to 708)","Staff Used?","Volunteers Used?","Financial Resource Used?","Property Resource Used?","Other Descriptions"
"100193457RR0001",2018-12-31 00:00:00,"23",700,,,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",701,,,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",702,,,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",703,"X",,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",704,,,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",705,,,,,
"100193457RR0001",2018-12-31 00:00:00,"23",706,,,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",707,,,,,
"100193457RR0001",2018-12-31 00:00:00,"23",708,,,,,
"100305663RR0001",2018-3-31 00:00:00,"23",700,"X","X","X",,
"100305663RR0001",2018-3-31 00:00:00,"23",701,"X",,,,
"100305663RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"100305663RR0001",2018-3-31 00:00:00,"23",705,"X",,"X",,
"101144541RR0001",2018-8-31 00:00:00,"23",700,"X",,"X",,
"101144541RR0001",2018-8-31 00:00:00,"23",701,"X","X","X",,
"101144541RR0001",2018-8-31 00:00:00,"23",702,"X",,,,
"101144541RR0001",2018-8-31 00:00:00,"23",703,"X",,,,
"101144541RR0001",2018-8-31 00:00:00,"23",705,"X",,,,
"101144541RR0001",2018-8-31 00:00:00,"23",706,"X",,,,
"101476083RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"101476083RR0001",2018-3-31 00:00:00,"23",701,"X",,"X",,
"101476083RR0001",2018-3-31 00:00:00,"23",702,"X",,"X",,
"101476083RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"101476083RR0001",2018-3-31 00:00:00,"23",705,"X",,"X",,
"101476083RR0001",2018-3-31 00:00:00,"23",706,"X",,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",701,"X",,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",702,"X",,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",707,,,"X",,
"102950318RR0001",2018-3-31 00:00:00,"23",700,"X",,"X",,
"102950318RR0001",2018-3-31 00:00:00,"23",701,"X",,"X",,
"102950318RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"102950318RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"102950318RR0001",2018-3-31 00:00:00,"23",708,"X","X","X","X","DISTRIBUTION DE RUBANS BLANCS ET CHANDELLES"
"103018487RR0001",2018-3-31 00:00:00,"23",703,,,"X",,
"103018487RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"103018487RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"103083978RR0001",2018-12-31 00:00:00,"23",700,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",701,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",702,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",703,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",704,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",705,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",706,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",707,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",708,,,,,
"104317375RR0001",2018-6-30 00:00:00,"23",701,"X","X","X",,
"104317375RR0001",2018-6-30 00:00:00,"23",702,"X","X","X",,
"104317375RR0001",2018-6-30 00:00:00,"23",706,"X",,"X",,
"104455019RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"104455019RR0001",2018-3-31 00:00:00,"23",701,"X",,"X",,
"104455019RR0001",2018-3-31 00:00:00,"23",702,,,"X",,
"104455019RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"104455019RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"104902523RR0001",2018-12-31 00:00:00,"23",700,"X",,"X",,
"104902523RR0001",2018-12-31 00:00:00,"23",701,"X",,"X",,
"104902523RR0001",2018-12-31 00:00:00,"23",702,"X","X","X",,
"104902523RR0001",2018-12-31 00:00:00,"23",703,,,,,
"104902523RR0001",2018-12-31 00:00:00,"23",704,,,,,
"104902523RR0001",2018-12-31 00:00:00,"23",705,"X","X","X",,
"104902523RR0001",2018-12-31 00:00:00,"23",706,"X",,"X",,
"104902523RR0001",2018-12-31 00:00:00,"23",707,,,,,
"104902523RR0001",2018-12-31 00:00:00,"23",708,,,,,
"105261341RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"105261341RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"105261341RR0001",2018-3-31 00:00:00,"23",705,"X",,"X",,
"105261341RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"105261341RR0001",2018-3-31 00:00:00,"23",708,"X","X","X",,
"106682636RR0001",2018-7-31 00:00:00,"23",700,,,"X",,
"106682636RR0001",2018-7-31 00:00:00,"23",701,,,,,
"106682636RR0001",2018-7-31 00:00:00,"23",702,,,"X",,
"106682636RR0001",2018-7-31 00:00:00,"23",703,,,"X",,
"106682636RR0001",2018-7-31 00:00:00,"23",704,,,,,
"106682636RR0001",2018-7-31 00:00:00,"23",705,,,"X",,
"106682636RR0001",2018-7-31 00:00:00,"23",706,,,,,
"106682636RR0001",2018-7-31 00:00:00,"23",707,,,,,
"106682636RR0001",2018-7-31 00:00:00,"23",708,,,,,
"106687452RR0001",2018-6-30 00:00:00,"23",701,,"X","X","X",
"106687452RR0001",2018-6-30 00:00:00,"23",702,,"X","X","X",
"106687452RR0001",2018-6-30 00:00:00,"23",703,,,"X",,
"106687452RR0001",2018-6-30 00:00:00,"23",708,,,"X","X",
"106694102RR0001",2018-3-31 00:00:00,"23",700,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",701,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",702,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",703,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",704,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",705,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",706,"X",,,,
"106708977RR0002",2018-12-31 00:00:00,"23",700,,"X","X",,
"106708977RR0002",2018-12-31 00:00:00,"23",701,"X","X","X",,
"106708977RR0002",2018-12-31 00:00:00,"23",702,,,"X",,
"106708977RR0002",2018-12-31 00:00:00,"23",703,,,"X",,
"106708977RR0002",2018-12-31 00:00:00,"23",704,,,,,
"106708977RR0002",2018-12-31 00:00:00,"23",705,"X","X","X",,
"106708977RR0002",2018-12-31 00:00:00,"23",706,"X","X","X",,
"106708977RR0002",2018-12-31 00:00:00,"23",707,,,,,
"106708977RR0002",2018-12-31 00:00:00,"23",708,"X","X","X",,"Government relations and meetings with politicians"
"106716467RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"106716467RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"106728488RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"106728488RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"106731698RR0001",2018-3-31 00:00:00,"23",700,,"X","X",,
"106731698RR0001",2018-3-31 00:00:00,"23",701,,"X","X",,
"106731698RR0001",2018-3-31 00:00:00,"23",704,,"X","X",,
"106731698RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"106732001RR0001",2018-3-31 00:00:00,"23",702,,"X","X",,
"106733462RR0001",2018-3-31 00:00:00,"23",702,,,"X",,
"106733462RR0001",2018-3-31 00:00:00,"23",704,,,"X",,
"106733462RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"106733462RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"106733462RR0001",2018-3-31 00:00:00,"23",708,,,"X",,"Tenue d'un kiosque de sensibilisation à l'assemblée Nationale du Québec le 19 octobre 2017"
"106798549RR0001",2018-12-31 00:00:00,"23",700,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",701,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",702,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",703,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",704,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",705,"X",,,,
"106798549RR0001",2018-12-31 00:00:00,"23",706,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",707,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",708,,,,,
"106814692RR0001",2018-12-31 00:00:00,"23",703,"X",,"X",,
"106842388RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"106842388RR0001",2018-3-31 00:00:00,"23",701,,,"X",,
"106842388RR0001",2018-3-31 00:00:00,"23",702,,"X","X",,
"106842388RR0001",2018-3-31 00:00:00,"23",705,,"X","X",,
"106842388RR0001",2018-3-31 00:00:00,"23",706,,"X","X",,
"106842867RR0001",2018-12-31 00:00:00,"23",700,,"X","X",,
"106842867RR0001",2018-12-31 00:00:00,"23",701,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",702,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",703,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",704,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",705,,,"X",,
"106842867RR0001",2018-12-31 00:00:00,"23",706,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",707,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",708,,,"X",,
"106845100RR0001",2018-1-31 00:00:00,"23",700,"X","X","X",,
"106845100RR0001",2018-1-31 00:00:00,"23",701,"X","X","X",,
"106845100RR0001",2018-1-31 00:00:00,"23",702,"X","X","X",,
"106845100RR0001",2018-1-31 00:00:00,"23",704,"X",,"X",,
"106845100RR0001",2018-1-31 00:00:00,"23",705,"X",,"X",,
"106845100RR0001",2018-1-31 00:00:00,"23",706,"X","X","X",,
"106845100RR0001",2018-1-31 00:00:00,"23",708,"X","X","X",,"Membership dues paid to organizations (listed in box 1) Attending meetings with elected officials and civil servants"
"106846942RR0001",2018-8-31 00:00:00,"23",700,,"X","X",,
"106846942RR0001",2018-8-31 00:00:00,"23",701,,"X","X",,
"106846942RR0001",2018-8-31 00:00:00,"23",702,,"X","X",,
"106846942RR0001",2018-8-31 00:00:00,"23",703,,"X","X",,
"106846942RR0001",2018-8-31 00:00:00,"23",705,,"X","X",,
"106846942RR0001",2018-8-31 00:00:00,"23",706,,"X","X",,
"106863657RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"106863657RR0001",2018-3-31 00:00:00,"23",701,,,"X",,
"106865272RR0001",2018-3-31 00:00:00,"23",700,,,"X","X",
"106865272RR0001",2018-3-31 00:00:00,"23",701,"X",,"X",,
"106865272RR0001",2018-3-31 00:00:00,"23",702,,,"X","X",
"106865272RR0001",2018-3-31 00:00:00,"23",703,"X",,"X","X",
"106865272RR0001",2018-3-31 00:00:00,"23",704,"X",,"X","X",
"106865272RR0001",2018-3-31 00:00:00,"23",705,"X",,"X","X",
"106865272RR0001",2018-3-31 00:00:00,"23",706,,,"X","X",
"106865744RR0001",2018-12-31 00:00:00,"23",700,,,"X",,
"106865744RR0001",2018-12-31 00:00:00,"23",701,"X",,"X",,
"106865744RR0001",2018-12-31 00:00:00,"23",702,"X",,"X",,
"106865744RR0001",2018-12-31 00:00:00,"23",703,,,,,
"106865744RR0001",2018-12-31 00:00:00,"23",704,,,"X",,
"106865744RR0001",2018-12-31 00:00:00,"23",705,,,,,
"106865744RR0001",2018-12-31 00:00:00,"23",706,,,"X",,
"106865744RR0001",2018-12-31 00:00:00,"23",707,,,,,
"106865744RR0001",2018-12-31 00:00:00,"23",708,,,,,
"106868474RR0001",2018-12-31 00:00:00,"23",700,,,"X",,
"106868474RR0001",2018-12-31 00:00:00,"23",701,,,,,
"106868474RR0001",2018-12-31 00:00:00,"23",702,,,"X",,
"106868474RR0001",2018-12-31 00:00:00,"23",703,,,,,
"106868474RR0001",2018-12-31 00:00:00,"23",704,,,,,
"106868474RR0001",2018-12-31 00:00:00,"23",705,,,,,
"106868474RR0001",2018-12-31 00:00:00,"23",706,,,,,
"106868474RR0001",2018-12-31 00:00:00,"23",707,,,,,
"106868474RR0001",2018-12-31 00:00:00,"23",708,,,,,
"106868755RR0001",2018-2-28 00:00:00,"23",702,,"X",,,
"106868755RR0001",2018-2-28 00:00:00,"23",704,,"X","X",,
"106868755RR0001",2018-2-28 00:00:00,"23",706,,,"X",,
"106868755RR0001",2018-2-28 00:00:00,"23",708,,,"X",,"Meeting with individual Ministers, Members of Parliament, and officials. Various meeting to provide input on government policy."
"106880107RR0018",2018-12-31 00:00:00,"23",700,,,,,
"106880107RR0018",2018-12-31 00:00:00,"23",701,,,,,
"106880107RR0018",2018-12-31 00:00:00,"23",702,,,,,
"106880107RR0018",2018-12-31 00:00:00,"23",703,,,,,
"106880107RR0018",2018-12-31 00:00:00,"23",704,,,,,
"106880107RR0018",2018-12-31 00:00:00,"23",705,,,,,
"106880107RR0018",2018-12-31 00:00:00,"23",706,,,,,
"106880107RR0018",2018-12-31 00:00:00,"23",707,,,,,
"106880107RR0018",2018-12-31 00:00:00,"23",708,,,,,
"106889207RR0001",2018-3-31 00:00:00,"23",702,"X",,"X",,
"106889207RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"106889207RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"106889207RR0001",2018-3-31 00:00:00,"23",706,"X",,"X",,
"106902299RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"106902299RR0001",2018-3-31 00:00:00,"23",701,"X","X","X",,
"106902299RR0001",2018-3-31 00:00:00,"23",702,,,"X",,
"106902299RR0001",2018-3-31 00:00:00,"23",704,,,"X",,
"106902299RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"106902299RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"106902299RR0001",2018-3-31 00:00:00,"23",707,,,"X",,
"106903073RR0001",2018-3-31 00:00:00,"23",701,,,"X",,
"106903073RR0001",2018-3-31 00:00:00,"23",702,,,"X",,
"106903073RR0001",2018-3-31 00:00:00,"23",706,"X",,"X",,
"106918352RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"106918352RR0001",2018-3-31 00:00:00,"23",708,,"X","X",,"6 to 7-minute segment on TV broadcast"
"106926827RR0001",2018-12-31 00:00:00,"23",700,,,,,
"106926827RR0001",2018-12-31 00:00:00,"23",701,,,,,
"106926827RR0001",2018-12-31 00:00:00,"23",702,,,,,
"106926827RR0001",2018-12-31 00:00:00,"23",703,,,,,
"106926827RR0001",2018-12-31 00:00:00,"23",704,,,,,
"106926827RR0001",2018-12-31 00:00:00,"23",705,,,,,
"106926827RR0001",2018-12-31 00:00:00,"23",706,,,,,
"106926827RR0001",2018-12-31 00:00:00,"23",707,,,,,
"106926827RR0001",2018-12-31 00:00:00,"23",708,,,,,
"106950488RR0001",2018-3-31 00:00:00,"23",700,"X",,,,
"106950488RR0001",2018-3-31 00:00:00,"23",701,"X","X","X",,
"106950488RR0001",2018-3-31 00:00:00,"23",702,,,"X",,
"106950488RR0001",2018-3-31 00:00:00,"23",703,,"X",,,
"106950488RR0001",2018-3-31 00:00:00,"23",706,,"X","X",,
"106957228RR0001",2018-6-30 00:00:00,"23",700,,,"X",,
"106957228RR0001",2018-6-30 00:00:00,"23",701,"X",,"X",,
"106957228RR0001",2018-6-30 00:00:00,"23",702,,"X","X","X",
"106957228RR0001",2018-6-30 00:00:00,"23",703,"X","X","X",,
"106957228RR0001",2018-6-30 00:00:00,"23",704,"X",,"X","X",
"106957228RR0001",2018-6-30 00:00:00,"23",706,,,"X",,
"106967086RR0001",2018-1-31 00:00:00,"23",700,"X","X","X",,
"106967086RR0001",2018-1-31 00:00:00,"23",701,"X",,"X",,
"106967086RR0001",2018-1-31 00:00:00,"23",702,"X","X","X",,
"106967086RR0001",2018-1-31 00:00:00,"23",703,"X",,"X",,
"106967086RR0001",2018-1-31 00:00:00,"23",704,"X",,"X",,
"106967086RR0001",2018-1-31 00:00:00,"23",706,"X",,"X",,
"107273666RR0002",2018-12-31 00:00:00,"23",700,,,,,
"107273666RR0002",2018-12-31 00:00:00,"23",701,,,"X",,
"107273666RR0002",2018-12-31 00:00:00,"23",702,,,"X",,
"107273666RR0002",2018-12-31 00:00:00,"23",703,,,"X",,
"107273666RR0002",2018-12-31 00:00:00,"23",704,,,"X",,
"107273666RR0002",2018-12-31 00:00:00,"23",705,,,"X",,
"107273666RR0002",2018-12-31 00:00:00,"23",706,,,"X",,
"107273666RR0002",2018-12-31 00:00:00,"23",707,,"X","X",,
"107273666RR0002",2018-12-31 00:00:00,"23",708,,,,,
"107280224RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"107280224RR0001",2018-3-31 00:00:00,"23",701,,"X","X",,
"107280224RR0001",2018-3-31 00:00:00,"23",702,"X","X","X",,
"107280224RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"107280224RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"107280224RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"107280224RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"107280224RR0001",2018-3-31 00:00:00,"23",708,,,"X",,"Planning meetings"
"107306086RR0001",2018-8-31 00:00:00,"23",700,,,"X",,
"107306086RR0001",2018-8-31 00:00:00,"23",701,,,"X",,
"107306086RR0001",2018-8-31 00:00:00,"23",702,,,"X",,
"107306086RR0001",2018-8-31 00:00:00,"23",703,,,"X",,
"107306086RR0001",2018-8-31 00:00:00,"23",706,,,"X",,
"107307191RR0008",2018-12-31 00:00:00,"23",700,,,,,
"107307191RR0008",2018-12-31 00:00:00,"23",701,"X",,,,
"107307191RR0008",2018-12-31 00:00:00,"23",702,"X",,,,
"107307191RR0008",2018-12-31 00:00:00,"23",703,"X",,,,
"107307191RR0008",2018-12-31 00:00:00,"23",704,"X",,"X",,
"107307191RR0008",2018-12-31 00:00:00,"23",705,"X",,"X",,
"107307191RR0008",2018-12-31 00:00:00,"23",706,,,,,
"107307191RR0008",2018-12-31 00:00:00,"23",707,,,,,
"107307191RR0008",2018-12-31 00:00:00,"23",708,,,,,
"107353922RR0001",2018-5-31 00:00:00,"23",700,,"X","X","X",
"107353922RR0001",2018-5-31 00:00:00,"23",701,,"X","X","X",
"107353922RR0001",2018-5-31 00:00:00,"23",702,,"X","X","X",
"107353922RR0001",2018-5-31 00:00:00,"23",703,,"X","X","X",
"107353922RR0001",2018-5-31 00:00:00,"23",704,,"X","X","X",
"107353922RR0001",2018-5-31 00:00:00,"23",705,,"X","X","X",
"107353922RR0001",2018-5-31 00:00:00,"23",706,,"X","X","X",
"107354334RR0001",2018-12-31 00:00:00,"23",700,,,"X",,
"107354334RR0001",2018-12-31 00:00:00,"23",701,,,,,
"107354334RR0001",2018-12-31 00:00:00,"23",702,,,"X",,
"107354334RR0001",2018-12-31 00:00:00,"23",703,,,,,
"107354334RR0001",2018-12-31 00:00:00,"23",704,,,,,
"107354334RR0001",2018-12-31 00:00:00,"23",705,"X",,"X",,
"107354334RR0001",2018-12-31 00:00:00,"23",706,,,"X",,
"107354334RR0001",2018-12-31 00:00:00,"23",707,,"X",,,
"107354334RR0001",2018-12-31 00:00:00,"23",708,,,,,
"107371445RR0001",2018-12-31 00:00:00,"23",700,,,,,
"107371445RR0001",2018-12-31 00:00:00,"23",701,,,,,
"107371445RR0001",2018-12-31 00:00:00,"23",702,,,"X",,
"107371445RR0001",2018-12-31 00:00:00,"23",703,,,"X",,
"107371445RR0001",2018-12-31 00:00:00,"23",704,,,,,
"107371445RR0001",2018-12-31 00:00:00,"23",705,,,,,
"107371445RR0001",2018-12-31 00:00:00,"23",706,,,,,
"107371445RR0001",2018-12-31 00:00:00,"23",707,,,,,
"107371445RR0001",2018-12-31 00:00:00,"23",708,,,"X",,"Advertise community conversations on social media, website, newsletters and in the active living guide"
"107371676RR0001",2018-12-31 00:00:00,"23",700,,,,,
"107371676RR0001",2018-12-31 00:00:00,"23",701,"X",,"X",,
"107371676RR0001",2018-12-31 00:00:00,"23",702,,,,,
"107371676RR0001",2018-12-31 00:00:00,"23",703,"X",,"X",,
"107371676RR0001",2018-12-31 00:00:00,"23",704,,,,,
"107371676RR0001",2018-12-31 00:00:00,"23",705,,,,,
"107371676RR0001",2018-12-31 00:00:00,"23",706,,,,,
"107371676RR0001",2018-12-31 00:00:00,"23",707,,,,,
"107371676RR0001",2018-12-31 00:00:00,"23",708,,,,,
"107376063RR0001",2018-3-31 00:00:00,"23",700,"X","X","X","X",
"107376063RR0001",2018-3-31 00:00:00,"23",701,"X","X","X","X",
"107376063RR0001",2018-3-31 00:00:00,"23",702,"X","X","X","X",
"107376063RR0001",2018-3-31 00:00:00,"23",703,"X","X","X","X",
"107376063RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"107376063RR0001",2018-3-31 00:00:00,"23",705,"X",,"X",,
"107376063RR0001",2018-3-31 00:00:00,"23",706,"X","X","X","X",
"107378804RR0001",2018-3-31 00:00:00,"23",702,,,"X",,
"107378804RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"107378952RR0001",2018-2-28 00:00:00,"23",700,,,"X",,
"107378952RR0001",2018-2-28 00:00:00,"23",701,,,"X",,
"107378952RR0001",2018-2-28 00:00:00,"23",702,,,"X",,
"107378952RR0001",2018-2-28 00:00:00,"23",704,,,"X",,
"107378952RR0001",2018-2-28 00:00:00,"23",705,,,"X",,
"107378952RR0001",2018-2-28 00:00:00,"23",706,,,"X",,
"107382814RR0001",2018-12-31 00:00:00,"23",700,,,,,
"107382814RR0001",2018-12-31 00:00:00,"23",701,,,,,
"107382814RR0001",2018-12-31 00:00:00,"23",702,,,,,
"107382814RR0001",2018-12-31 00:00:00,"23",703,,,,,
"107382814RR0001",2018-12-31 00:00:00,"23",704,,,,,
"107382814RR0001",2018-12-31 00:00:00,"23",705,,,,,
"107382814RR0001",2018-12-31 00:00:00,"23",706,,,,,
"107382814RR0001",2018-12-31 00:00:00,"23",707,,"X",,,
"107382814RR0001",2018-12-31 00:00:00,"23",708,,,,,
"107387953RR0001",2018-12-31 00:00:00,"23",700,,,,,
"107387953RR0001",2018-12-31 00:00:00,"23",701,,,,,
"107387953RR0001",2018-12-31 00:00:00,"23",702,,,,,
"107387953RR0001",2018-12-31 00:00:00,"23",703,,,,,
"107387953RR0001",2018-12-31 00:00:00,"23",704,"X",,,,
"107387953RR0001",2018-12-31 00:00:00,"23",705,"X",,,,
"107387953RR0001",2018-12-31 00:00:00,"23",706,,,,,
"107387953RR0001",2018-12-31 00:00:00,"23",707,,,,,
"107387953RR0001",2018-12-31 00:00:00,"23",708,,,,,
"107388076RR0001",2018-12-31 00:00:00,"23",700,,,,,
"107388076RR0001",2018-12-31 00:00:00,"23",701,,,,,
"107388076RR0001",2018-12-31 00:00:00,"23",702,,,,,
"107388076RR0001",2018-12-31 00:00:00,"23",703,"X",,"X",,
"107388076RR0001",2018-12-31 00:00:00,"23",704,"X",,"X",,
"107388076RR0001",2018-12-31 00:00:00,"23",705,"X",,"X",,
"107388076RR0001",2018-12-31 00:00:00,"23",706,,,,,
"107388076RR0001",2018-12-31 00:00:00,"23",707,,,,,
"107388076RR0001",2018-12-31 00:00:00,"23",708,,,,,
"107392813RR0001",2018-12-31 00:00:00,"23",700,,,,,
"107392813RR0001",2018-12-31 00:00:00,"23",701,,,,,
"107392813RR0001",2018-12-31 00:00:00,"23",702,,,,,
"107392813RR0001",2018-12-31 00:00:00,"23",703,,,,,
"107392813RR0001",2018-12-31 00:00:00,"23",704,,,,,
"107392813RR0001",2018-12-31 00:00:00,"23",705,,,,,
"107392813RR0001",2018-12-31 00:00:00,"23",706,,,,,
"107392813RR0001",2018-12-31 00:00:00,"23",707,,"X",,,
"107392813RR0001",2018-12-31 00:00:00,"23",708,,,,,
"107425951RR0001",2018-12-31 00:00:00,"23",700,,,,,
"107425951RR0001",2018-12-31 00:00:00,"23",701,,,,,
"107425951RR0001",2018-12-31 00:00:00,"23",702,,,,,
"107425951RR0001",2018-12-31 00:00:00,"23",703,"X",,,,
"107425951RR0001",2018-12-31 00:00:00,"23",704,,,,,
"107425951RR0001",2018-12-31 00:00:00,"23",705,"X",,,,
"107425951RR0001",2018-12-31 00:00:00,"23",706,,,,,
"107425951RR0001",2018-12-31 00:00:00,"23",707,,,,,
"107425951RR0001",2018-12-31 00:00:00,"23",708,,,,,
"107435695RR0001",2018-3-31 00:00:00,"23",700,,"X",,,
"107435695RR0001",2018-3-31 00:00:00,"23",701,"X","X",,,
"107435695RR0001",2018-3-31 00:00:00,"23",702,,"X",,,
"107435695RR0001",2018-3-31 00:00:00,"23",703,"X",,,,
"107435695RR0001",2018-3-31 00:00:00,"23",705,"X",,,,
"107435695RR0001",2018-3-31 00:00:00,"23",706,,"X",,,
"107435695RR0001",2018-3-31 00:00:00,"23",708,"X","X",,"X","Campaign management & administration"
"107453524RR0001",2018-3-31 00:00:00,"23",701,,"X","X",,
"107453524RR0001",2018-3-31 00:00:00,"23",702,,"X","X",,
"107453524RR0001",2018-3-31 00:00:00,"23",705,,"X","X",,
"107453524RR0001",2018-3-31 00:00:00,"23",706,,"X","X",,
"107484891RR0001",2018-12-31 00:00:00,"23",707,,"X",,,
"107497802RR0001",2018-12-31 00:00:00,"23",700,,,,,
"107497802RR0001",2018-12-31 00:00:00,"23",701,,,,,
"107497802RR0001",2018-12-31 00:00:00,"23",702,,,,,
"107497802RR0001",2018-12-31 00:00:00,"23",703,,,,,
"107497802RR0001",2018-12-31 00:00:00,"23",704,,,,,
"107497802RR0001",2018-12-31 00:00:00,"23",705,,,,,
"107497802RR0001",2018-12-31 00:00:00,"23",706,,,,,
"107497802RR0001",2018-12-31 00:00:00,"23",707,,,,,
"107497802RR0001",2018-12-31 00:00:00,"23",708,,,,,
"107567398RR0001",2018-12-31 00:00:00,"23",700,,,,,
"107567398RR0001",2018-12-31 00:00:00,"23",701,"X",,"X",,
"107567398RR0001",2018-12-31 00:00:00,"23",702,,,,,
"107567398RR0001",2018-12-31 00:00:00,"23",703,,,,,
"107567398RR0001",2018-12-31 00:00:00,"23",704,,,,,
"107567398RR0001",2018-12-31 00:00:00,"23",705,,,,,
"107567398RR0001",2018-12-31 00:00:00,"23",706,,,,,
"107567398RR0001",2018-12-31 00:00:00,"23",707,,,,,
"107567398RR0001",2018-12-31 00:00:00,"23",708,,,,,
"107588410RR0001",2018-12-31 00:00:00,"23",701,,,"X",,
"107599953RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"107599953RR0001",2018-3-31 00:00:00,"23",701,,,"X",,
"107599953RR0001",2018-3-31 00:00:00,"23",702,,,"X",,
"107599953RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"107599953RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"107603136RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"107603136RR0001",2018-3-31 00:00:00,"23",704,,,"X",,
"107606303RR0001",2018-7-31 00:00:00,"23",703,,"X","X",,
"107607012RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"107607012RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"107607012RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"107607012RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"107607012RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
