"BN/Registration number","Fiscal period end","Form ID","300","305","310","315","320","325","330","335","340","345","370","380","390"
"100318997RR0001",2018-9-30 00:00:00,"23",5,4,1,,,,,,,,8,$22614.00,$268889.00
"100319797RR0001",2018-3-31 00:00:00,"23",258,,4,5,,1,,,,,66,$0.00,$7997319.00
"100334994RR0001",2018-3-31 00:00:00,"23",4,2,2,,,,,,,,10,$44589.00,$194597.00
"100338797RR0001",2018-12-31 00:00:00,"23",19,,,,,,,,,,50,,
"100356476RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,1,$0.00,$11199.00
"100384734RR0001",2018-8-31 00:00:00,"23",3,,3,,,,,,,,20,$179504.00,$329473.00
"100405299RR0001",2018-8-31 00:00:00,"23",22,,9,1,,,,,,,,$0.00,$702361.00
"100452838RR0001",2018-6-30 00:00:00,"23",2,1,1,,,,,,,,10,$23317.00,$89243.00
"100462118RR0001",2018-6-30 00:00:00,"23",5,5,,,,,,,,,3,$37000.00,$214182.00
"100493253RR0001",2018-12-31 00:00:00,"23",,2,,,,,,,,,,$288.00,$288.00
"100504687RR0001",2018-6-30 00:00:00,"23",18,3,7,,,,,,,,42,$102651.00,$832891.00
"100523653RR0001",2018-3-31 00:00:00,"23",2,,,,,,,,,,,$0.00,$9225.00
"100549989RR0001",2018-12-31 00:00:00,"23",1,1,,,,,,,,,14,$54219.00,$88265.00
"100622661RR0001",2018-3-31 00:00:00,"23",21,,6,4,,,,,,,32,$839000.00,$2252228.00
"100623602RR0001",2018-6-30 00:00:00,"23",2,2,,,,,,,,,3,$959.00,$50144.00
"100655810RR0001",2018-3-31 00:00:00,"23",9,29,4,,,,,,,,24,$191120.00,$426120.00
"100661487RR0001",2018-12-31 00:00:00,"23",1,1,1,,,,,,,,2,$7896.00,$57871.00
"100681238RR0001",2018-3-31 00:00:00,"23",124,,3,5,1,1,,,,,109,$2389779.00,$8830822.00
"100709708RR0001",2018-7-31 00:00:00,"23",1,1,,,,,,,,,,$0.00,$28382.00
"100718212RR0001",2018-3-31 00:00:00,"23",7,7,,,,,,,,,,$0.00,$192756.00
"100731660RR0001",2018-3-31 00:00:00,"23",84,0,4,5,,1,,,,,74,$2093168.00,$6766296.00
"100749357RR0001",2018-9-30 00:00:00,"23",3,0,1,1,1,,,,,,140,$459574.00,$733905.00
"100750959RR0001",2018-10-31 00:00:00,"23",,,,,,,,,,,1,$4446.00,$4446.00
"100762590RR0001",2018-12-31 00:00:00,"23",6,1,2,1,,1,,,,,3,$26863.00,$568083.00
"100762723RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,4,$200971.00,$200971.00
"100763416RR0001",2018-3-31 00:00:00,"23",8,3,2,2,1,,,,,,,$0.00,$499947.00
"100764638RR0001",2018-12-31 00:00:00,"23",1,1,,,,,,,,,1,,$26467.00
"100765114RR0001",2018-3-31 00:00:00,"23",51,47,4,,,,,,,,42,$203828.00,$1678911.00
"100769835RR0001",2018-3-31 00:00:00,"23",1,2,1,,,,,,,,2,$5478.00,$73761.00
"100774843RR0001",2018-5-31 00:00:00,"23",7,,6,1,,,,,,,,,$445654.00
"100804939RR0001",2018-6-30 00:00:00,"23",9,2,7,,,,,,,,90,$265021.00,$790928.00
"100807189RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,15,$154999.00,$154999.00
"100810290RR0001",2018-12-31 00:00:00,"23",5,1,4,,,,,,,,10,$88935.00,$342721.00
"100814854RR0001",2018-12-31 00:00:00,"23",5,2,3,,,,,,,,9,$24997.00,$249202.00
"100815067RR0001",2018-3-31 00:00:00,"23",15,3,12,,,,,,,,83,$976290.00,$1868830.00
"100823830RR0001",2018-12-31 00:00:00,"23",19,,9,1,,,,,,,34,$170643.00,$1140589.00
"100825074RR0001",2018-3-31 00:00:00,"23",14,5,9,,,,,,,,2,$28000.00,$348000.00
"100825116RR0001",2018-3-31 00:00:00,"23",5,4,1,,,,,,,,7,$106504.00,$297794.00
"100825322RR0001",2018-3-31 00:00:00,"23",2,1,1,,,,,,,,6,$63224.00,$122025.00
"100825439RR0001",2018-12-31 00:00:00,"23",5,4,1,,,,,,,,4,$69405.00,$235398.00
"100831122RR0001",2018-6-30 00:00:00,"23",6,5,1,,,,,,,,6,$72876.00,$303648.00
"100844919RR0001",2018-12-31 00:00:00,"23",28,,,9,1,,,,,,12,$203935.00,$2589229.00
"100872894RR0001",2018-12-31 00:00:00,"23",1,1,,,,,,,,,5,$29152.00,$44694.00
"100875244RR0001",2018-3-31 00:00:00,"23",3,2,1,,,,,,,,3,$10639.00,$137454.00
"100876143RR0001",2018-5-31 00:00:00,"23",,6,,,,,,,,,6,$25976.00,$25976.00
"100876499RR0001",2018-3-31 00:00:00,"23",25,9,1,,,,,,,,4,$12116.00,$570942.00
"100876531RR0001",2018-12-31 00:00:00,"23",10,7,2,1,,,,,,,,$939438.00,$1639669.00
"100876630RR0001",2018-3-31 00:00:00,"23",4,3,1,,,,,,,,12,$183592.00,$318443.00
"100876689RR0001",2018-3-31 00:00:00,"23",10,9,1,,,,,,,,,$0.00,$365092.00
"100876887RR0001",2018-4-30 00:00:00,"23",5,,,,,,,,,,3,$5220.00,$151377.00
"100876903RR0001",2018-12-31 00:00:00,"23",20,1,9,,,,,,,,98,$425501.00,$1471642.00
"100877505RR0001",2018-3-31 00:00:00,"23",5,4,1,,,,,,,,5,$47327.00,$204415.00
"100877513RR0001",2018-3-31 00:00:00,"23",3,,4,,,,,,,,8,$290190.00,$476663.00
"100877539RR0001",2018-3-31 00:00:00,"23",5,5,,,,,,,,,10,$47896.00,$214676.00
"100877547RR0001",2018-3-31 00:00:00,"23",7,6,1,,,,,,,,1,$26674.00,$322061.00
"100877570RR0001",2018-8-31 00:00:00,"23",3,2,1,,,,,,,,6,$57864.00,$156988.00
"100877596RR0001",2018-3-31 00:00:00,"23",8,7,1,,,,,,,,,$0.00,$204495.00
"100877810RR0001",2018-3-31 00:00:00,"23",8,7,4,,,,,,,,3,$56268.00,$280721.00
"100877828RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,1,$19757.00,$19757.00
"100878032RR0001",2018-6-30 00:00:00,"23",4,4,,,,,,,,,,$0.00,$124318.00
"100878123RR0001",2018-6-30 00:00:00,"23",19,,9,1,,,,,,,15,$135562.00,$1426355.00
"100878743RR0001",2018-3-31 00:00:00,"23",3,1,2,,,,,,,,1,$11269.00,$160147.00
"100878776RR0001",2018-3-31 00:00:00,"23",12,2,7,1,,,,,,,20,$218506.00,$1106673.00
"100878784RR0001",2018-3-31 00:00:00,"23",5,5,,,,,,,,,5,$91779.00,$179972.00
"100878792RR0001",2018-3-31 00:00:00,"23",4,6,,,,,,,,,2,$19419.00,$174323.00
"100878800RR0001",2018-8-31 00:00:00,"23",1,1,,,,,,,,,2,$19725.00,$19725.00
"100878818RR0001",2018-3-31 00:00:00,"23",2,2,,,,,,,,,,$0.00,$55959.00
"100878826RR0001",2018-3-31 00:00:00,"23",3,3,,,,,,,,,,$0.00,$104009.00
"100878834RR0001",2018-3-31 00:00:00,"23",7,6,1,,,,,,,,,$0.00,$247217.00
"100879576RR0001",2018-3-31 00:00:00,"23",1,1,,,,,,,,,7,$43674.00,$84400.00
"100879923RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,10,$128059.00,$128059.00
"100880608RR0001",2018-9-30 00:00:00,"23",2,2,,,,,,,,,,$0.00,$31755.00
"100880699RR0001",2018-3-31 00:00:00,"23",8,7,1,,,,,,,,,$0.00,$207763.00
"100880822RR0001",2018-3-31 00:00:00,"23",5,,5,,,,,,,,,$0.00,$325872.00
"100880822RR0001",2018-8-31 00:00:00,"23",5,,5,,,,,,,,,,$110486.00
"100881333RR0001",2018-3-31 00:00:00,"23",10,5,5,,,,,,,,9,$143154.00,$517675.00
"100882893RR0001",2018-3-31 00:00:00,"23",17,3,7,,,,,,,,,$0.00,$945926.00
"100883248RR0001",2018-3-31 00:00:00,"23",6,5,1,,,,,,,,5,$105588.00,$336672.00
"100883289RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,$0.00,$58557.00
"100883842RR0001",2018-9-30 00:00:00,"23",1,,1,,,,,,,,38,$227519.00,$274959.00
"100884188RR0001",2018-3-31 00:00:00,"23",2,2,,,,,,,,,1,$50060.00,$50060.00
"100884329RR0001",2018-3-31 00:00:00,"23",7,5,2,,,,,,,,,$0.00,$274237.00
"100884584RR0001",2018-6-30 00:00:00,"23",13,8,2,,,,,,,,11,$166754.00,$325699.00
"100884949RR0001",2018-3-31 00:00:00,"23",16,7,3,,,,,,,,10,$54749.00,$676655.00
"100884956RR0001",2018-12-31 00:00:00,"23",9,2,7,,,,,,,,7,$57698.00,$433117.00
"100885821RR0001",2018-12-31 00:00:00,"23",1,1,,,,,,,,,,,
"100886381RR0001",2018-3-31 00:00:00,"23",5,4,1,,,,,,,,,$0.00,$202234.00
"100886407RR0001",2018-3-31 00:00:00,"23",7,5,2,,,,,,,,,,$221742.00
"100886415RR0001",2018-3-31 00:00:00,"23",2,2,,,,,,,,,4,$72941.00,$154495.00
"100886522RR0001",2018-4-30 00:00:00,"23",9,8,1,,,,,,,,26,$180839.00,$439037.00
"100886530RR0001",2018-6-30 00:00:00,"23",3,1,2,,,,,,,,45,$337752.00,$512321.00
"100886993RR0001",2018-3-31 00:00:00,"23",191,170,15,5,1,,,,,,192,$1186801.00,$9103826.00
"100887025RR0001",2018-3-31 00:00:00,"23",101,1,7,2,,,,,,,10,$107181.00,$2599743.00
"100887835RR0001",2018-6-30 00:00:00,"23",18,,8,2,,,,,,,14,$290730.00,$1277427.00
"100889997RR0001",2018-6-30 00:00:00,"23",8,3,5,,,,,,,,1,$17619.00,$456006.00
"100890011RR0001",2018-6-30 00:00:00,"23",6,5,1,,,,,,,,,$0.00,$201911.00
"100890094RR0001",2018-3-31 00:00:00,"23",4,2,2,,,,,,,,,$0.00,$187791.00
"100890227RR0001",2018-6-30 00:00:00,"23",8,2,6,,,,,,,,23,$338939.00,$861295.00
